name,ring,quadrant,isNew,description
github,Core,Tools&Languages,FALSE,"<a href=""http://devops.walmart.com/bifrost/starting-ci-cd.html"">Walmart deployment pipeline standard tools. </a> https://gecgithub01.walmart.com/"
Looper,Core,Tools&Languages,FALSE,"<a href=""http://devops.walmart.com/bifrost/starting-ci-cd.html"">Walmart deployment pipeline standard tools. </a> https://ci.walmart.com/"
Concord,Core,Tools&Languages,FALSE,"<a href=""http://devops.walmart.com/bifrost/starting-ci-cd.html"">Walmart deployment pipeline standard tools. </a> https://concord.prod.walmart.com/"
SonarQube,Core,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a> https://docs.sonarqube.org/"
PMD,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a>  https://pmd.github.io/"
Checkmarx,Core,Tools&Languages,FALSE,"<a href=""http://devops.walmart.com/bifrost/starting-ci-cd.html"">Walmart deployment pipeline standard tools. </a> https://checkmarx.wal-mart.com/"
Lint,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a>  https://developer.android.com/studio/write/lint"
ktLink,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a>  https://ktlint.github.io/"
SwiftLint,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a>  https://github.com/realm/SwiftLint"
esLint,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a>  https://eslint.org/"
prettier,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/static"">From Testing ADR.</a>  https://prettier.io/"
XCTest,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/unit"">From Testing ADR.</a>  https://developer.apple.com/documentation/xctest"
Jasmine,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://jasmine.github.io/"
NUnit,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a></a> https://nunit.org/"
xUnit,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://xunit.github.io/"
JUnit,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://junit.org/"
TestNG,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://testng.org/doc/index.html"
Jest,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://jestjs.io/"
Karma,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://karma-runner.github.io/2.0/index.html"
Mocha,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://mochajs.org/"
Chai,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> http://www.chaijs.com/"
Truth,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/unit"">From Testing ADR.</a>  https://github.com/google/truth"
REST Assured,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> http://rest-assured.io/"
Powermock,Explore,Tools&Languages,FALSE,"<a href=""https://engineering.walmart.com/docs/testing/unit"">From Testing ADR.</a>  https://github.com/powermock/powermock"
Mockito,Core,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> https://site.mockito.org/"
Wiremock,Explore,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> http://wiremock.org/"
Mountebank,Explore,Tools&Languages,FALSE,"<a href=""http://testing.walmart.com/testsolutions/tools/testing-tools-radar.html"">from Testing Tools Radar.</a> http://www.mbtest.org/"
