name,ring,quadrant,isNew,description
github,Core,Tools,FALSE,"git, source code management"
Looper,Core,Tools,FALSE,
Concord,Core,Tools,FALSE,
SonarQube,Core,Tools,FALSE,"Knowledge on technical debt﻿ and complexity﻿, common programming rules (bugs, vulnerabilities, code smells), good coding design, quality metrics﻿ to aid in decision on Rules and Analysis of results"
PMD,Adopted?,Tools,FALSE,
Checkmarx,Adopted?,Tools,FALSE,
Lint,Adopted?,Tools,FALSE,
ktLink,Adopted?,Tools,FALSE,
SwiftLint,Adopted?,Tools,FALSE,
esLint,Adopted?,Tools,FALSE,
prettier,Adopted?,Tools,FALSE,
XCTest,Adopted?,Tools,FALSE,
Jasmine,Core,Tools,FALSE,BDD
NUnit,Core,Tools,FALSE,.Net
xUnit,Core,Tools,FALSE,.Net
JUnit,Core,Tools,FALSE,Java
TestNG,Core,Tools,FALSE,Java
Jest,Core,Tools,FALSE,JS
Karma,Core,Tools,FALSE,JS
Mocha,Core,Tools,FALSE,JS
Chai,Core,Tools,FALSE,JS
Truth,Adopted?,Tools,FALSE,
REST Assured,Core,Tools,FALSE,"Java, REST"
Powermock,Adopted?,Tools,FALSE,
Mockitoi,Core,Tools,FALSE,Java
Sinon,Adopted?,Tools,FALSE,JS
expect(jest),Adopted?,Tools,FALSE,JS
jest-dom,Adopted?,Tools,FALSE,JS
supertest,Adopted?,Tools,FALSE,
Nock,Core,Tools,FALSE,JS
apollo,Adopted?,Tools,FALSE,
Shifu,Core,Tools,FALSE,JS
sonar(sonarlint),Adopted?,Tools,FALSE,
Android Espresso,Adopted?,Tools,FALSE,
XCUITest,Adopted?,Tools,FALSE,
Testcafe,Adopted?,Tools,FALSE,
instanbul/nyc (jest),Adopted?,Tools,FALSE,
Nightwatch,Core,Tools,FALSE,JS
Selenium,Core,Tools,FALSE,JS
Cypress,Adopted?,Tools,FALSE,
Protractor (JS/Angular),Core,Tools,FALSE,JS/Angular
Appium (Native Android/mobile web),Core,Tools,FALSE,Android (mobile web) - Java
JMeter,Core,Tools,FALSE,
Automaton,Adopt,Tools,FALSE,
Locust,Explore,Tools,FALSE,
DistGatling,Explore,Tools,FALSE,
Gatling,Explore,Tools,FALSE,
Muxy,Explore,Tools,FALSE,
Gremlin,Explore,Tools,FALSE,
Pumba,Explore,Tools,FALSE,
Speedometer,Adopted?,Tools,FALSE,
Analytica,Adopt,Tools,FALSE,
R2,Adopt,Tools,FALSE,
Pact,Explore,Tools,FALSE,
SDE Selenium Grid,Adopt,Tools,FALSE,
Saucelabs,Core,Tools,FALSE,
Plexus,Adopt,Tools,FALSE,
XRay,Core,Tools,FALSE,
Hygieia,Adopt,Tools,FALSE,
Delphix,Explore,Tools,FALSE,
Imanis Data,Explore,Tools,FALSE,
Minerva,Explore,Tools,FALSE,
git/github,Core,Skills,FALSE,github and integrations with other tools
BDD (Gherkins),Core,Skills,FALSE,Cucumber
YAML,Core,Skills,FALSE,Looper
Java,Core,Skills,FALSE,"Junit
Concord"
Javascript,Core,Skills,FALSE,"Jasmine, etc. (most Web test tools)"
maven,Core,Skills,FALSE,
JSON,Core,Skills,FALSE,
REST,Core,Skills,FALSE,"REST API for JIRA Xray
REST Assured,"
Jest,Core,Skills,FALSE,
Configuration Management,Core,Skills,FALSE,
Target Management,Core,Skills,FALSE,
Node/NodeJS,Core,Skills,FALSE,Puppeteer...
Ajax,Core,Skills,FALSE,SinonJS…
Ansible (playbooks),Core,Skills,FALSE,Concord
Static testing,Core,Skills,FALSE,
Unit testing,Core,Skills,FALSE,
Integration testing,Core,Skills,FALSE,
Functional testing,Core,Skills,FALSE,
Performance Testing,Core,Skills,FALSE,
Relational tables /SQL,Core,Skills,FALSE,
Non-relational / NoSQL,Core,Skills,FALSE,
"Object-oriented concepts (OOC, OOP)",Core,Skills,FALSE,
Troubleshooting,Core,Skills,FALSE,
Robust systems design,Core,Skills,FALSE,
Bug Tracking (Management),Core,Skills,FALSE,
Measurement and Analysis,Core,Skills,FALSE,
Requirements validation,Core,Skills,FALSE,
Test Case Review,Core,Skills,FALSE,
Communicating Test Status,Core,Skills,FALSE,
Critical Thinking,Core,Skills,FALSE,
Collaboration Skills,Core,Skills,FALSE,
